interval,subject,learning,relearning
20 min,Ebbinghaus,23.8,10.4
1 hour,Ebbinghaus,24.4,14.6
9 hours,Ebbinghaus,24.9,18.6
1 day,Ebbinghaus,25.2,16.8
2 days,Ebbinghaus,26.4,19.2
6 days,Ebbinghaus,26.2,19.7
31 days,Ebbinghaus,25.7,20.4
20 min,Mack,23.7,10.8
1 hour,Mack,25.7,14.6
9 hours,Mack,24.2,17.3
1 day,Mack,26.9,18.4
2 days,Mack,26.3,16.7
6 days,Mack,24.6,17.0
31 days,Mack,26.7,19.8
20 min,Seitz,23.3,13.0
1 hour,Seitz,23.7,16.0
9 hours,Seitz,21.5,15.7
1 day,Seitz,23.7,17.3
2 days,Seitz,23.8,17.0
6 days,Seitz,22.9,18.2
31 days,Seitz,24.9,19.9
20 min,Dros,30.77,16.26
1 hour,Dros,30.64,19.22
9 hours,Dros,31.07,22.48
1 day,Dros,31.22,21.33
2 days,Dros,31.42,24.19
6 days,Dros,31.21,25.97
31 days,Dros,29.44,28.23
