"level","n_dig_pts","n_comp_pts","mean_abs_diff","max_abs_diff"
10000,26,31,0,0
20000,26,32,0,0
30000,26,30,0,0
40000,26,28,0,0
50000,26,27,0,0
60000,26,32,0,0
70000,26,35,0,0
80000,26,37,0,0
90000,26,39,0,0
100000,26,40,0,0
110000,26,36,0,0
120000,26,35,0,0
130000,26,34,0,0
140000,26,35,0,0
150000,26,36,0,0
160000,26,33,0,0
170000,28,33,0,0
180000,21,25,0,0
190000,19,22,0,0
200000,14,17,0,0
210000,11,13,0,0
220000,11,12,0,0
230000,8,9,0,0
240000,8,9,0,0
250000,7,8,0,0
260000,6,8,0,0
270000,5,5,0,0
280000,5,5,0,0
290000,5,5,0,0
